"","idmen","maxn"
"931",1210184026420100,1
"932",1210184034710100,4
"933",1210184057530100,3
"934",1210184075690100,2
"935",1210184104200100,4
"936",1210184110640100,4
"937",1210184124060100,2
"938",1210263030630100,1
"939",1210263044120100,3
"940",1210263082450100,4
"941",1210308017600100,2
"942",1210308043310100,1
"943",1210308051770100,4
"944",1210308095380100,4
"945",1210308113300100,2
"946",1210370014970100,2
"947",1210370020920100,2
"948",1210370073230100,3
"949",1210370078730100,2
"950",1210370099400100,6
"951",1210370122000100,2
"952",1210370124040100,2
"953",1210444010270100,3
"954",1210444020060100,3
"955",1210444051770100,1
"956",1210444057410100,1
"957",1210444115750100,4
"958",1210444125520100,3
"959",1210532017600100,1
"960",1210532023850100,4
"961",1210532034710100,1
"962",1210532113300100,2
"963",1210593033220100,1
"964",1210593057410100,4
"965",1210593088460100,1
"966",1210593118640100,5
"967",1210593126670100,2
"968",1210593126670101,1
"969",1210677017390100,3
"970",1210677026420100,1
"971",1210677042000100,2
"972",1210677075690100,1
"973",1210677084110100,4
"974",1210677095500100,4
"975",1210677102990100,4
"976",1210677108800100,1
"977",1210677121140100,5
"978",1210766012180100,1
"979",1210766020060100,2
"980",1210766025180100,5
"981",1210766033220100,1
"982",1210766042350100,1
"983",1210766073510100,2
"984",1210766086440100,4
"985",1210766088460100,1
"986",1210766118740100,3
"987",1210803027210100,4
"988",1210803033220100,3
"989",1210803040950100,3
"990",1210803084110100,4
"991",1210803087500100,2
"992",1210958015750100,4
"993",1210958020540100,4
"994",1210958039370100,4
"995",1210958042000100,4
"996",1210958044120100,2
"997",1210958051020100,1
"998",1210958091130100,1
"999",1210958109060100,4
"1000",1210958117610100,5
"1001",1211107020060100,1
"1002",1211107033220100,2
"1003",1211107040950100,2
"1004",1211107053790100,4
"1005",1211107059260100,2
"1006",1211107063150100,4
"1007",1211107089680100,1
"1008",1211109010270100,3
"1009",1211109020540100,2
"1010",1211109067860100,2
"1011",1211109101960100,2
"1012",1211109104200100,2
"1013",1211109109060100,1
"1014",1211109117610100,1
"1015",1211109124060100,1
"1016",1211281033220100,1
"1017",1211281044120100,2
"1018",1211281078730100,4
"1019",1211281091130100,2
"1020",1211281118450100,4
"1021",1211281121140100,2
"1022",1211281124040100,1
"1023",1211340023850100,2
"1024",1211340040580100,1
"1025",1211340051770100,3
"1026",1211340053790100,2
"1027",1211340058220100,5
"1028",1211340095380100,5
"1029",1211340095380101,3
"1030",1211340099390100,2
"1031",1211340110640100,4
"1032",1211340118450100,2
"1033",1211340126670100,3
"1034",1211411012180100,2
"1035",1211411045130100,3
"1036",1211411045130200,1
"1037",1211411073230100,3
"1038",1211411073620100,5
"1039",1211411088460100,2
"1040",1211411099400100,4
"1041",1211411123980100,1
"1042",1211500073620100,2
"1043",1211500094370100,4
"1044",1211602012620100,3
"1045",1211602015750100,4
"1046",1211602026420100,4
"1047",1211602039590100,1
"1048",1211602044120100,2
"1049",1211602078730100,2
"1050",1211602104200100,1
"1051",1211602106580100,4
"1052",1211602110640100,4
"1053",1211602117610100,4
"1054",1211619044120100,1
"1055",1211619064920100,2
"1056",1211619082450100,3
"1057",1211619099400100,3
"1058",1211619118640100,4
"1059",1211635039370100,2
"1060",1211635042000100,2
"1061",1211635044120100,1
"1062",1211635045130100,3
"1063",1211635051020100,4
"1064",1211635059550100,4
"1065",1211635103840100,5
"1066",1211760020060100,1
"1067",1211760033220100,2
"1068",1211760055140100,2
"1069",1211760057530100,3
"1070",1211760078730100,1
"1071",1211760122000100,4
"1072",1211760122680100,3
"1073",1211782013160100,4
"1074",1211782016060100,4
"1075",1211782057410100,4
"1076",1211782067860100,2
"1077",1211782095500100,1
"1078",1211782101420100,2
"1079",1211782106930100,3
"1080",1211782118450100,4
"1081",1211914012620100,5
"1082",1211914016060100,2
"1083",1211914059260100,3
"1084",1211914081230100,2
"1085",1211914082450100,3
"1086",1211914112370100,1
"1087",1211914121140100,1
"1088",1211951017600100,4
"1089",1211951025180100,4
"1090",1211951042350100,2
"1091",1211951052310100,2
"1092",1211951058220100,3
